instrumentID;loctimestamp;daystomaturity;underlyingprice;underlyingforwardprice;bakshiVariance;riskfree
DE0009652396D1;26.08.2010 00:00;7;2603.66;2602.8;0.00148065;0.00377
DE0009652396D1;26.08.2010 00:00;30;2603.66;2600.04;0.00750763;0.00436
DE0009652396D1;26.08.2010 00:00;60;2603.66;2595.12;0.016514;0.00462613
DE0009652396D1;26.08.2010 00:00;91;2603.66;2587.55;0.025893;0.00486
DE0009652396D1;26.08.2010 00:00;182;2603.66;2583.32;0.061164;0.00525
DE0009652396D1;26.08.2010 00:00;365;2603.66;2512.38;0.160045;0.00604
DE0009652396D1;26.08.2010 00:00;22;2603.66;2601.05;0.00529638;0.0043275
DE0009652396D1;26.08.2010 00:00;50;2603.66;2597.42;0.0134615;0.00453742
DE0009652396D1;26.08.2010 00:00;85;2603.66;2587.83;0.0239914;0.004815
DE0009652396D1;26.08.2010 00:00;113;2603.66;2587.41;0.0347428;0.00493097
DE0009652396D1;26.08.2010 00:00;204;2603.66;2582.95;0.0731953;0.00535645
DE0009652396D1;26.08.2010 00:00;295;2603.66;2520.45;0.121269;0.00577516
